Cluster,Symbol,Name,MA_Short_Window,MA_Long_Window,RSI_Window,RSI_Buy_Threshold,RSI_Sell_Threshold,Stop_Loss_Percent,Take_Profit_Percent,Average_Return,Symbol_sim_return,Return,Std Dev
2,AMKR.O,앰코 테크놀로지,5,120,14,44,54,1.0,10.0,128.16,75.03,28.63,47.6
2,ALGM.O,알레그로 마이크로시스템즈,5,120,14,44,54,1.0,10.0,128.16,868.87,29.24,46.33
2,MRVL.O,마벨 테크놀로지 그룹,5,120,14,44,54,1.0,10.0,128.16,19.69,20.92,41.58
2,SWKS.O,스카이웍스 솔루션스,5,120,14,44,54,1.0,10.0,128.16,21.42,23.5,40.6
2,COHR.K,코히런트,5,120,14,44,54,1.0,10.0,128.16,23.84,24.22,45.91
2,QRVO.O,코보,5,120,14,44,54,1.0,10.0,128.16,21.6,15.41,42.17
2,GFS.O,글로벌파운드리,5,120,14,44,54,1.0,10.0,128.16,0.0,18.79,49.55
2,RMBS.O,램버스,5,120,14,44,54,1.0,10.0,128.16,-5.16,21.59,44.44
2,ALGM.O,알레그로 마이크로시스템즈,5,120,14,44,64,1.0,10.0,66.88,381.12,29.24,46.33
2,RMBS.O,램버스,5,120,14,44,64,1.0,10.0,66.88,10.46,21.59,44.44
2,GFS.O,글로벌파운드리,5,120,14,44,64,1.0,10.0,66.88,0.0,18.79,49.55
2,MRVL.O,마벨 테크놀로지 그룹,5,120,14,44,64,1.0,10.0,66.88,29.69,20.92,41.58
2,AMKR.O,앰코 테크놀로지,5,120,14,44,64,1.0,10.0,66.88,47.88,28.63,47.6
2,SWKS.O,스카이웍스 솔루션스,5,120,14,44,64,1.0,10.0,66.88,23.5,23.5,40.6
2,COHR.K,코히런트,5,120,14,44,64,1.0,10.0,66.88,22.64,24.22,45.91
2,QRVO.O,코보,5,120,14,44,64,1.0,10.0,66.88,19.76,15.41,42.17
2,QRVO.O,코보,5,120,14,44,69,1.0,10.0,65.98,22.12,15.41,42.17
2,COHR.K,코히런트,5,120,14,44,69,1.0,10.0,65.98,26.6,24.22,45.91
2,SWKS.O,스카이웍스 솔루션스,5,120,14,44,69,1.0,10.0,65.98,28.0,23.5,40.6
2,AMKR.O,앰코 테크놀로지,5,120,14,44,69,1.0,10.0,65.98,29.47,28.63,47.6
2,ALGM.O,알레그로 마이크로시스템즈,5,120,14,44,69,1.0,10.0,65.98,402.02,29.24,46.33
2,MRVL.O,마벨 테크놀로지 그룹,5,120,14,44,69,1.0,10.0,65.98,16.05,20.92,41.58
2,GFS.O,글로벌파운드리,5,120,14,44,69,1.0,10.0,65.98,0.0,18.79,49.55
2,RMBS.O,램버스,5,120,14,44,69,1.0,10.0,65.98,3.58,21.59,44.44
2,AMKR.O,앰코 테크놀로지,5,120,14,44,59,1.0,10.0,65.84,41.55,28.63,47.6
2,MRVL.O,마벨 테크놀로지 그룹,5,120,14,44,59,1.0,10.0,65.84,32.91,20.92,41.58
2,SWKS.O,스카이웍스 솔루션스,5,120,14,44,59,1.0,10.0,65.84,29.16,23.5,40.6
2,COHR.K,코히런트,5,120,14,44,59,1.0,10.0,65.84,12.74,24.22,45.91
